,sku,cargotype
89,cc91987b6e08fee10304a857e2c81c9b,485
90,cc91987b6e08fee10304a857e2c81c9b,670
91,8ce0c489304b91c6a4a258c732a0a33d,290
92,8ce0c489304b91c6a4a258c732a0a33d,410
93,8ce0c489304b91c6a4a258c732a0a33d,480
94,8ce0c489304b91c6a4a258c732a0a33d,485
95,8ce0c489304b91c6a4a258c732a0a33d,520
96,8ce0c489304b91c6a4a258c732a0a33d,670
97,e9d42d05de43d674f87e232afd63650e,290
98,e9d42d05de43d674f87e232afd63650e,410
99,e9d42d05de43d674f87e232afd63650e,480
100,e9d42d05de43d674f87e232afd63650e,485
101,e9d42d05de43d674f87e232afd63650e,520
102,e9d42d05de43d674f87e232afd63650e,670
103,19df1dbd95338bbfa421c80c32dd49be,290
104,19df1dbd95338bbfa421c80c32dd49be,410
105,19df1dbd95338bbfa421c80c32dd49be,480
106,19df1dbd95338bbfa421c80c32dd49be,485
107,19df1dbd95338bbfa421c80c32dd49be,520
108,19df1dbd95338bbfa421c80c32dd49be,670
109,f7aee6fad1070805563ae4320c4c8104,292
110,f7aee6fad1070805563ae4320c4c8104,410
5199177,c01e435cace31cdf751ca31432a97753,310
5199178,162712257ddace58f0b50cafd00f076b,200
5199179,162712257ddace58f0b50cafd00f076b,290
5199180,162712257ddace58f0b50cafd00f076b,310
5199181,baf9e5e54d39b2d4443b8622b2ee48ce,200
5199182,baf9e5e54d39b2d4443b8622b2ee48ce,290
5199183,baf9e5e54d39b2d4443b8622b2ee48ce,310
5199184,17101ba42f0b10005221c33b00295166,200
5199185,17101ba42f0b10005221c33b00295166,290
5199186,17101ba42f0b10005221c33b00295166,310
5199187,1f9657fa1fc91c3c25f802bcf22c6ac7,200
5199188,1f9657fa1fc91c3c25f802bcf22c6ac7,290
5199189,1f9657fa1fc91c3c25f802bcf22c6ac7,310
5199190,9c4fe4e9d4d14ddce2de068e0088b4b9,200
5199191,9c4fe4e9d4d14ddce2de068e0088b4b9,290
5199192,9c4fe4e9d4d14ddce2de068e0088b4b9,310
5199193,f36e294c9037aa33229ea3fb0e9fec5e,200
5199194,f36e294c9037aa33229ea3fb0e9fec5e,290
5199195,f36e294c9037aa33229ea3fb0e9fec5e,310
5199196,1bf208008baf38da220278a24d017748,200
18837479,75c21cfa77763ccb8574127dce91078b,290
18837480,75c21cfa77763ccb8574127dce91078b,340
18837481,75c21cfa77763ccb8574127dce91078b,410
18837482,75c21cfa77763ccb8574127dce91078b,480
18837483,75c21cfa77763ccb8574127dce91078b,485
18837484,75c21cfa77763ccb8574127dce91078b,520
12633840,5f863de7185b639dc6a628704ed17484,290
12633841,5f863de7185b639dc6a628704ed17484,600
12633842,5f863de7185b639dc6a628704ed17484,610
12633843,5f863de7185b639dc6a628704ed17484,950
12633844,5f863de7185b639dc6a628704ed17484,970
12633845,5f863de7185b639dc6a628704ed17484,980
12633828,af49bf330e2cf16e44f0be1bdfe337bd,290
12633829,af49bf330e2cf16e44f0be1bdfe337bd,600
12633830,af49bf330e2cf16e44f0be1bdfe337bd,610
12633831,af49bf330e2cf16e44f0be1bdfe337bd,950
12633832,af49bf330e2cf16e44f0be1bdfe337bd,970
12633833,af49bf330e2cf16e44f0be1bdfe337bd,980
